date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2007-04-03,-171.2,-39.13,-194.8165,83.83573,19.37,13.46
2007-04-04,-147.42,-74.8,-183.45309,410.10429,18.97,13.24
2007-04-05,-15.76,-83.34,-135.23804,240.24063,18.91,13.23
2007-04-06,-29.76,-130.43,-208.12236,180.09468,18.63,13.23
2007-04-09,34.96,-27.25,-225.9411,167.52242,18.61,13.14
2007-04-10,-71.09,-103.41,-359.84927,131.41935,18.39,12.68
2007-04-11,48.18,-41.58,-43.47057,204.34413,18.49,13.49
2007-04-12,483.53,-124.09,279.99231,-94.80825,18.54,12.71
2007-04-13,-233.53,-70.45,-262.39687,397.09752,18,12.2
2007-04-16,-7.71,-64.29,-50.3534,77.48145,17.94,11.98
2007-04-17,-133.67,-37.06,-223.40298,243.64226,18.67,12.14
2007-04-18,58.93,-18.2,-36.73396,93.43988,18.31,12.42
2007-04-19,-228.72,-31.35,-286.12394,71.90303,19.11,12.54
2007-04-20,310.03,-101.26,-30.74934,54.41167,17.67,12.07
2007-04-23,-23.05,-43.22,-284.14166,305.33075,17.87,13.04
2007-04-24,-58.17,-106.85,-251.89179,151.37202,17.5,13.12
2007-04-25,-24.36,-201.06,-154.53962,-60.80428,18.13,13.21
2007-04-26,42.87,34.41,161.38062,-74.46061,18,12.79
2007-04-27,-97.62,-77.71,-214.28244,180.11563,18.78,12.45
2007-04-30,-32.88,41.78,-65.80503,56.54622,18.99,14.22
2007-05-02,0.21,62.21,-4.25538,-19.28941,18.65,13.08
2007-05-03,33.62,54.29,-66.51718,-67.16958,17.9,13.09
2007-05-04,-8.17,20.8,97.14676,-63.15127,17.34,12.91
2007-05-07,28.21,-60.28,93.34232,-120.2103,16.63,13.15
2007-05-08,-65.67,-117.01,-177.81569,147.86585,17.62,13.21
2007-05-09,76.92,-106.09,89.03042,-200.7641,17.68,12.88
2007-05-10,134.31,-30.24,-57.83559,112.4488,17.31,13.6
2007-05-11,-122.26,-93,-210.39859,-1.95844,17.43,12.95
