,BM, MACD ,SAR,ADX,RSI,Stoch,CCI,Program_Nbuy,FI_Nbuy,VIX_Avg,VKOSPI_Avg
2006-11-16 9:00,0.002222222,0.002222222,0.002222222,-0.002222222,-0.002222222,-0.002222222,-0.002222222,0.002222222,-0.002222222,0.002222222,0.002222222
2006-11-17 9:00,-0.000555556,-0.000555556,-0.000555556,-0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,-0.000555556,-0.000555556
2006-11-20 9:00,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0.01,-0.01,-0.01
2006-11-21 9:00,0.004444444,0.004444444,0.004444444,0.004444444,-0.004444444,-0.004444444,-0.004444444,-0.004444444,-0.004444444,0.004444444,0.004444444
2006-11-22 9:00,0.011944444,0.011944444,0.011944444,-0.011944444,-0.011944444,-0.011944444,-0.011944444,-0.011944444,-0.011944444,0.011944444,0.011944444
2006-11-23 9:00,-0.000277778,-0.000277778,-0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,-0.000277778,-0.000277778
2006-11-24 9:00,-0.001388889,-0.001388889,-0.001388889,-0.001388889,0.001388889,0.001388889,0.001388889,0.001388889,0.001388889,-0.001388889,-0.001388889
2006-11-27 9:00,-0.000555556,-0.000555556,-0.000555556,-0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,0.000555556,-0.000555556,-0.000555556
2006-11-28 9:00,-0.007777778,-0.007777778,-0.007777778,-0.007777778,0.007777778,0.007777778,0.007777778,0.007777778,0.007777778,-0.007777778,-0.007777778
2006-11-29 9:00,0.009444444,0.009444444,0.009444444,0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,-0.009444444,0.009444444
2006-11-30 9:00,0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,-0.005277778,0.005277778
2006-12-01 9:00,-0.001666667,0.001666667,0.001666667,-0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,-0.001666667
